,precision,recall,f1-score,support
0,0.9662363455809335,0.9928571428571429,0.9793658782083543,980.0
1,0.9929453262786596,0.9920704845814978,0.9925077126487439,1135.0
2,0.9767441860465116,0.9767441860465116,0.9767441860465116,1032.0
3,0.979187314172448,0.9782178217821782,0.9787023278850916,1010.0
4,0.9796334012219959,0.9796334012219959,0.9796334012219959,982.0
5,0.9819819819819819,0.9775784753363229,0.9797752808988764,892.0
6,0.971252566735113,0.9874739039665971,0.979296066252588,958.0
7,0.9766081871345029,0.9747081712062257,0.9756572541382668,1028.0
8,0.9761658031088083,0.9671457905544147,0.9716348633316142,974.0
9,0.9837232960325534,0.958374628344896,0.9708835341365462,1009.0
accuracy,0.9786,0.9786,0.9786,0.9786
macro avg,0.9784478408293508,0.9784804005897781,0.9784200504768588,10000.0
weighted avg,0.9786587152469026,0.9786,0.9785858847779136,10000.0
